intent,precision,recall,f1-score,support,classifier
addcontact,0.21393034825870647,0.48314606741573035,0.29655172413793107,89.0,GaussianNB()
audiobook,0.44061302681992337,0.4811715481171548,0.46,239.0,GaussianNB()
cleaning,0.7722222222222223,0.8081395348837209,0.7897727272727273,172.0,GaussianNB()
coffee,0.7014925373134329,0.7121212121212122,0.7067669172932332,198.0,GaussianNB()
convert,0.1865079365079365,0.4845360824742268,0.26934097421203435,97.0,GaussianNB()
createoradd,0.3409090909090909,0.40816326530612246,0.3715170278637771,294.0,GaussianNB()
currency,0.8766404199475065,0.8835978835978836,0.8801054018445323,378.0,GaussianNB()
definition,0.773224043715847,0.5615079365079365,0.6505747126436782,504.0,GaussianNB()
dislikeness,0.056,0.28,0.09333333333333335,25.0,GaussianNB()
events,0.38064516129032255,0.5496894409937888,0.44980940279542564,322.0,GaussianNB()
factoid,0.47877591312931883,0.4610266159695818,0.46973365617433416,1052.0,GaussianNB()
game,0.702020202020202,0.594017094017094,0.6435185185185184,234.0,GaussianNB()
greet,0.1,0.625,0.1724137931034483,24.0,GaussianNB()
hue_lightchange,0.6666666666666666,0.5178571428571429,0.5829145728643216,224.0,GaussianNB()
hue_lightdim,0.4838709677419355,0.7142857142857143,0.5769230769230769,126.0,GaussianNB()
hue_lightoff,0.8370786516853933,0.6056910569105691,0.7028301886792452,246.0,GaussianNB()
hue_lighton,0.25862068965517243,0.39473684210526316,0.3125,38.0,GaussianNB()
hue_lightup,0.6055045871559633,0.4647887323943662,0.5258964143426296,142.0,GaussianNB()
joke,0.3269230769230769,0.5573770491803278,0.4121212121212121,122.0,GaussianNB()
likeness,0.19791666666666666,0.37254901960784315,0.2585034013605442,204.0,GaussianNB()
locations,0.4806201550387597,0.484375,0.48249027237354086,256.0,GaussianNB()
maths,0.6666666666666666,0.6335403726708074,0.6496815286624203,161.0,GaussianNB()
movies,0.30409356725146197,0.4642857142857143,0.3674911660777385,112.0,GaussianNB()
music,0.5025125628140703,0.24958402662229617,0.33351862145636463,1202.0,GaussianNB()
order,0.48132780082987553,0.5829145728643216,0.5272727272727273,199.0,GaussianNB()
podcasts,0.5063291139240507,0.5291005291005291,0.517464424320828,378.0,GaussianNB()
post,0.49852507374631266,0.6247689463955638,0.5545529122231337,541.0,GaussianNB()
query,0.5249320036264733,0.29188371702234917,0.3751619870410367,5951.0,GaussianNB()
querycontact,0.21842105263157896,0.3755656108597285,0.2762063227953411,221.0,GaussianNB()
quirky,0.19156540385989992,0.2535477767265847,0.21824104234527686,1057.0,GaussianNB()
radio,0.33292079207920794,0.4890909090909091,0.3961708394698085,550.0,GaussianNB()
recipe,0.6229116945107399,0.6319612590799032,0.6274038461538461,413.0,GaussianNB()
remove,0.3871374527112232,0.6239837398373984,0.4778210116731517,984.0,GaussianNB()
sendemail,0.3047703180212014,0.5007256894049347,0.3789126853377265,689.0,GaussianNB()
set,0.45235148514851486,0.4218118869013272,0.43654822335025384,1733.0,GaussianNB()
settings,0.1318181818181818,0.3625,0.19333333333333333,80.0,GaussianNB()
stock,0.6538461538461539,0.6925925925925925,0.672661870503597,270.0,GaussianNB()
taxi,0.45161290322580644,0.6847826086956522,0.5442764578833693,184.0,GaussianNB()
ticket,0.43666666666666665,0.5481171548117155,0.48608534322820035,239.0,GaussianNB()
traffic,0.3443223443223443,0.47,0.3974630021141649,200.0,GaussianNB()
volume_down,0.43089430894308944,0.6973684210526315,0.5326633165829145,76.0,GaussianNB()
volume_mute,0.4504950495049505,0.558282208588957,0.4986301369863013,163.0,GaussianNB()
volume_other,0.1794871794871795,0.2916666666666667,0.22222222222222224,24.0,GaussianNB()
volume_up,0.5,0.6180555555555556,0.5527950310559007,144.0,GaussianNB()
wemo_off,0.4740740740740741,0.6530612244897959,0.5493562231759657,98.0,GaussianNB()
wemo_on,0.16379310344827586,0.2375,0.19387755102040816,80.0,GaussianNB()
accuracy,0.43670122980467807,0.43670122980467807,0.43670122980467807,0.43670122980467807,GaussianNB()
macro avg,0.436775159061438,0.5202275743926438,0.4584223729161646,20735.0,GaussianNB()
weighted avg,0.4785482837180729,0.43670122980467807,0.4388025761833469,20735.0,GaussianNB()
addcontact,0.7605633802816901,0.6067415730337079,0.675,89.0,RandomForestClassifier(random_state=0)
audiobook,0.9096045197740112,0.6736401673640168,0.7740384615384617,239.0,RandomForestClassifier(random_state=0)
cleaning,0.8457142857142858,0.8604651162790697,0.8530259365994236,172.0,RandomForestClassifier(random_state=0)
coffee,0.9057591623036649,0.8737373737373737,0.8894601542416452,198.0,RandomForestClassifier(random_state=0)
convert,0.88,0.4536082474226804,0.5986394557823129,97.0,RandomForestClassifier(random_state=0)
createoradd,0.7483443708609272,0.7687074829931972,0.7583892617449663,294.0,RandomForestClassifier(random_state=0)
currency,0.8772378516624041,0.9074074074074074,0.8920676202860858,378.0,RandomForestClassifier(random_state=0)
definition,0.6528662420382165,0.8134920634920635,0.7243816254416962,504.0,RandomForestClassifier(random_state=0)
dislikeness,0.375,0.12,0.18181818181818182,25.0,RandomForestClassifier(random_state=0)
events,0.7307692307692307,0.35403726708074534,0.4769874476987448,322.0,RandomForestClassifier(random_state=0)
factoid,0.6393910561370124,0.6387832699619772,0.6390870185449359,1052.0,RandomForestClassifier(random_state=0)
game,0.8722222222222222,0.6709401709401709,0.7584541062801932,234.0,RandomForestClassifier(random_state=0)
greet,0.6428571428571429,0.375,0.4736842105263159,24.0,RandomForestClassifier(random_state=0)
hue_lightchange,0.8080357142857143,0.8080357142857143,0.8080357142857142,224.0,RandomForestClassifier(random_state=0)
hue_lightdim,0.8349514563106796,0.6825396825396826,0.7510917030567686,126.0,RandomForestClassifier(random_state=0)
hue_lightoff,0.8537549407114624,0.8780487804878049,0.8657314629258518,246.0,RandomForestClassifier(random_state=0)
hue_lighton,0.7142857142857143,0.5263157894736842,0.6060606060606061,38.0,RandomForestClassifier(random_state=0)
hue_lightup,0.75,0.823943661971831,0.785234899328859,142.0,RandomForestClassifier(random_state=0)
joke,0.9272727272727272,0.8360655737704918,0.8793103448275862,122.0,RandomForestClassifier(random_state=0)
likeness,0.7333333333333333,0.43137254901960786,0.54320987654321,204.0,RandomForestClassifier(random_state=0)
locations,0.7516339869281046,0.44921875,0.5623471882640586,256.0,RandomForestClassifier(random_state=0)
maths,0.8686868686868687,0.5341614906832298,0.6615384615384615,161.0,RandomForestClassifier(random_state=0)
movies,0.7962962962962963,0.38392857142857145,0.5180722891566265,112.0,RandomForestClassifier(random_state=0)
music,0.6617192331478046,0.8901830282861897,0.7591344448385954,1202.0,RandomForestClassifier(random_state=0)
order,0.768361581920904,0.6834170854271356,0.723404255319149,199.0,RandomForestClassifier(random_state=0)
