measure,precision,recall,f1-score,support,classifier,encoding
accuracy,0.436701229804678,0.436701229804678,0.436701229804678,0.436701229804678,GaussianNB,tfidf
macro avg,0.436775159061438,0.5202275743926438,0.4584223729161646,20735.0,GaussianNB,tfidf
weighted avg,0.4785482837180729,0.436701229804678,0.4388025761833469,20735.0,GaussianNB,tfidf
accuracy,0.7512900892211237,0.7512900892211237,0.7512900892211237,0.7512900892211237,RandomForestClassifier,tfidf
macro avg,0.7912126678985365,0.6601511497485051,0.7054055404522228,20735.0,RandomForestClassifier,tfidf
weighted avg,0.7547354656655124,0.7512900892211237,0.7418916569615345,20735.0,RandomForestClassifier,tfidf
accuracy,0.6637087050880154,0.6637087050880154,0.6637087050880154,0.6637087050880154,DecisionTreeClassifier,tfidf
macro avg,0.6477175225444674,0.6193387892139472,0.6295102663904263,20735.0,DecisionTreeClassifier,tfidf
weighted avg,0.6691855249976543,0.6637087050880154,0.6641291811526737,20735.0,DecisionTreeClassifier,tfidf
accuracy,0.4085845189293465,0.4085845189293465,0.4085845189293465,0.4085845189293465,AdaBoostClassifier,tfidf
macro avg,0.4159919249231423,0.2595691414608612,0.2795559223724719,20735.0,AdaBoostClassifier,tfidf
weighted avg,0.4036547968560213,0.4085845189293465,0.3085895264214101,20735.0,AdaBoostClassifier,tfidf
accuracy,0.6698336146612008,0.6698336146612008,0.6698336146612008,0.6698336146612008,KNeighborsClassifier,tfidf
macro avg,0.6960887714729668,0.4957571225617574,0.5431724877835042,20735.0,KNeighborsClassifier,tfidf
weighted avg,0.7005308786518124,0.6698336146612008,0.6349856043086283,20735.0,KNeighborsClassifier,tfidf
accuracy,0.7633469978297565,0.7633469978297565,0.7633469978297565,0.7633469978297565,SVC,tfidf
macro avg,0.8666791458242986,0.6747916779431005,0.7452315449496448,20735.0,SVC,tfidf
weighted avg,0.7882850712812601,0.7633469978297565,0.760913774673932,20735.0,SVC,tfidf
accuracy,0.7595604395604396,0.7595604395604396,0.7595604395604396,0.7595604395604396,LogisticRegression,tfidf
macro avg,0.8208985644795369,0.6235535993913474,0.6922974046092755,20475.0,LogisticRegression,tfidf
weighted avg,0.7790637013683933,0.7595604395604396,0.7534655028902347,20475.0,LogisticRegression,tfidf
accuracy,0.7544810744810745,0.7544810744810745,0.7544810744810745,0.7544810744810745,XGBClassifier,tfidf
macro avg,0.7697439935947766,0.6854188425982476,0.7201159464089847,20475.0,XGBClassifier,tfidf
weighted avg,0.7586047807489841,0.7544810744810745,0.7519695824474433,20475.0,XGBClassifier,tfidf
