intent,precision,recall,f1-score,support,classifier,encoding
addcontact,0.2139303482587064,0.4831460674157303,0.296551724137931,89.0,GaussianNB,tfidf
audiobook,0.4406130268199233,0.4811715481171548,0.46,239.0,GaussianNB,tfidf
cleaning,0.7722222222222223,0.8081395348837209,0.7897727272727273,172.0,GaussianNB,tfidf
coffee,0.7014925373134329,0.7121212121212122,0.7067669172932332,198.0,GaussianNB,tfidf
convert,0.1865079365079365,0.4845360824742268,0.2693409742120343,97.0,GaussianNB,tfidf
createoradd,0.3409090909090909,0.4081632653061224,0.3715170278637771,294.0,GaussianNB,tfidf
currency,0.8766404199475065,0.8835978835978836,0.8801054018445323,378.0,GaussianNB,tfidf
definition,0.773224043715847,0.5615079365079365,0.6505747126436782,504.0,GaussianNB,tfidf
dislikeness,0.056,0.28,0.0933333333333333,25.0,GaussianNB,tfidf
events,0.3806451612903225,0.5496894409937888,0.4498094027954256,322.0,GaussianNB,tfidf
factoid,0.4787759131293188,0.4610266159695818,0.4697336561743341,1052.0,GaussianNB,tfidf
game,0.702020202020202,0.594017094017094,0.6435185185185184,234.0,GaussianNB,tfidf
greet,0.1,0.625,0.1724137931034483,24.0,GaussianNB,tfidf
hue_lightchange,0.6666666666666666,0.5178571428571429,0.5829145728643216,224.0,GaussianNB,tfidf
hue_lightdim,0.4838709677419355,0.7142857142857143,0.5769230769230769,126.0,GaussianNB,tfidf
hue_lightoff,0.8370786516853933,0.6056910569105691,0.7028301886792452,246.0,GaussianNB,tfidf
hue_lighton,0.2586206896551724,0.3947368421052631,0.3125,38.0,GaussianNB,tfidf
hue_lightup,0.6055045871559633,0.4647887323943662,0.5258964143426296,142.0,GaussianNB,tfidf
joke,0.3269230769230769,0.5573770491803278,0.4121212121212121,122.0,GaussianNB,tfidf
likeness,0.1979166666666666,0.3725490196078431,0.2585034013605442,204.0,GaussianNB,tfidf
locations,0.4806201550387597,0.484375,0.4824902723735408,256.0,GaussianNB,tfidf
maths,0.6666666666666666,0.6335403726708074,0.6496815286624203,161.0,GaussianNB,tfidf
movies,0.3040935672514619,0.4642857142857143,0.3674911660777385,112.0,GaussianNB,tfidf
music,0.5025125628140703,0.2495840266222961,0.3335186214563646,1202.0,GaussianNB,tfidf
order,0.4813278008298755,0.5829145728643216,0.5272727272727273,199.0,GaussianNB,tfidf
podcasts,0.5063291139240507,0.5291005291005291,0.517464424320828,378.0,GaussianNB,tfidf
post,0.4985250737463126,0.6247689463955638,0.5545529122231337,541.0,GaussianNB,tfidf
query,0.5249320036264733,0.2918837170223491,0.3751619870410367,5951.0,GaussianNB,tfidf
querycontact,0.2184210526315789,0.3755656108597285,0.2762063227953411,221.0,GaussianNB,tfidf
quirky,0.1915654038598999,0.2535477767265847,0.2182410423452768,1057.0,GaussianNB,tfidf
radio,0.3329207920792079,0.4890909090909091,0.3961708394698085,550.0,GaussianNB,tfidf
recipe,0.6229116945107399,0.6319612590799032,0.6274038461538461,413.0,GaussianNB,tfidf
remove,0.3871374527112232,0.6239837398373984,0.4778210116731517,984.0,GaussianNB,tfidf
sendemail,0.3047703180212014,0.5007256894049347,0.3789126853377265,689.0,GaussianNB,tfidf
set,0.4523514851485148,0.4218118869013272,0.4365482233502538,1733.0,GaussianNB,tfidf
settings,0.1318181818181818,0.3625,0.1933333333333333,80.0,GaussianNB,tfidf
stock,0.6538461538461539,0.6925925925925925,0.672661870503597,270.0,GaussianNB,tfidf
taxi,0.4516129032258064,0.6847826086956522,0.5442764578833693,184.0,GaussianNB,tfidf
ticket,0.4366666666666666,0.5481171548117155,0.4860853432282003,239.0,GaussianNB,tfidf
traffic,0.3443223443223443,0.47,0.3974630021141649,200.0,GaussianNB,tfidf
volume_down,0.4308943089430894,0.6973684210526315,0.5326633165829145,76.0,GaussianNB,tfidf
volume_mute,0.4504950495049505,0.558282208588957,0.4986301369863013,163.0,GaussianNB,tfidf
volume_other,0.1794871794871795,0.2916666666666667,0.2222222222222222,24.0,GaussianNB,tfidf
volume_up,0.5,0.6180555555555556,0.5527950310559007,144.0,GaussianNB,tfidf
wemo_off,0.4740740740740741,0.6530612244897959,0.5493562231759657,98.0,GaussianNB,tfidf
